product_id,product_name,category_id,supplier_id,unit_cost,list_price,status
141,Classic Skin Care Set 141,5,20,213.83,376.64,Discontinued
142,Advanced Jacket 142,6,11,139.67,194.26,Active
143,Pro Card Game 143,7,8,176.21,300.65,Active
144,Ultra Seat Cover 144,8,15,289.87,370.34,Active
145,Premium Speaker 145,1,10,208.04,290.53,Discontinued
146,Ultra Air Fryer 146,2,19,73.65,119.0,Discontinued
147,Eco Filing Cabinet 147,3,20,548.13,732.23,Discontinued
148,Compact Water Bottle 148,4,21,82.56,103.67,Discontinued
149,Essential Electric Shaver 149,5,10,24.02,43.65,Active
150,Classic Backpack 150,6,21,105.94,151.63,Discontinued
151,Pro Remote Car 151,7,16,71.74,105.13,Active
152,Compact Car Vacuum 152,8,23,313.12,515.06,Active
153,Wireless Headphones 153,1,1,412.01,699.22,Active
154,Eco Coffee Maker 154,2,25,88.37,120.54,Active
155,Ultra Notebook Pack 155,3,22,542.53,888.56,Active
156,Smart Resistance Bands 156,4,15,221.85,289.31,Active
157,Classic Electric Shaver 157,5,11,54.99,94.69,Active
158,Essential Backpack 158,6,17,184.4,258.93,Discontinued
159,Premium Building Set 159,7,10,86.96,112.63,Active
160,Classic Tyre Inflator 160,8,22,36.17,53.78,Active
161,Pro Tablet Stand 161,1,18,181.65,308.7,Active
162,Classic Coffee Maker 162,2,19,51.3,71.32,Active
163,Essential Whiteboard 163,3,20,549.58,759.97,Active
164,Advanced Fitness Tracker 164,4,21,197.58,260.81,Active
165,Compact Bath Set 165,5,2,34.33,47.75,Active
166,Advanced Watch 166,6,13,150.8,255.74,Discontinued
167,Ultra Card Game 167,7,19,119.61,209.34,Discontinued
168,Smart Tyre Inflator 168,8,9,75.79,114.96,Active
169,Pro Speaker 169,1,12,256.4,470.93,Active
170,Classic Vacuum 170,2,2,78.59,104.0,Discontinued
171,Eco Desk Chair 171,3,3,35.09,50.88,Active
172,Eco Dumbbell Set 172,4,19,250.31,396.12,Active
173,Premium Electric Shaver 173,5,8,198.43,318.99,Active
174,Ultra Backpack 174,6,5,177.69,233.83,Active
175,Smart Doll 175,7,5,143.25,199.51,Active
176,Ultra Seat Cover 176,8,1,24.35,41.27,Active
177,Pro Tablet Stand 177,1,24,215.52,316.22,Active
178,Essential Cookware Set 178,2,15,331.71,423.27,Active
179,Smart Desk Chair 179,3,15,599.16,1053.55,Discontinued
180,Pro Water Bottle 180,4,22,216.02,327.52,Active
181,Wireless Electric Shaver 181,5,11,22.03,31.17,Active
182,Wireless Backpack 182,6,13,105.28,169.84,Active
183,Pro Remote Car 183,7,23,80.26,143.09,Discontinued
184,Advanced Dash Camera 184,8,11,137.79,180.1,Discontinued
185,Compact Speaker 185,1,11,430.28,715.17,Discontinued
186,Pro Kettle 186,2,3,46.23,60.47,Active
187,Essential Desk Chair 187,3,5,353.95,561.7,Active
188,Pro Helmet 188,4,22,111.25,183.47,Discontinued
189,Smart Makeup Kit 189,5,24,152.5,222.8,Active
190,Advanced Jeans 190,6,5,187.93,274.39,Active
191,Compact Remote Car 191,7,4,146.26,256.99,Active
192,Compact Car Vacuum 192,8,20,64.29,107.47,Active
193,Premium Headphones 193,1,11,102.1,136.4,Discontinued
194,Ultra Blender 194,2,3,45.74,71.73,Discontinued
195,Advanced Whiteboard 195,3,14,98.66,141.77,Active
196,Wireless Dumbbell Set 196,4,25,265.94,357.25,Active
197,Pro Makeup Kit 197,5,22,114.12,171.68,Discontinued
198,Compact Jeans 198,6,14,168.54,222.18,Discontinued
199,Compact Art Set 199,7,4,97.21,139.5,Active
200,Wireless Car Vacuum 200,8,13,10.4,14.88,Active
201,Ultra Power Bank 201,1,25,148.02,195.68,Discontinued
202,Classic Air Fryer 202,2,24,58.28,91.47,Active
203,Essential Whiteboard 203,3,17,47.88,84.61,Active
204,Smart Water Bottle 204,4,14,276.98,489.5,Discontinued
205,Classic Toothbrush 205,5,19,76.64,114.43,Active
206,Wireless Sunglasses 206,6,6,184.73,332.86,Active
207,Pro Remote Car 207,7,14,81.24,121.07,Active
208,Compact Tyre Inflator 208,8,13,77.13,132.47,Active
209,Pro Webcam 209,1,17,410.02,598.48,Active
210,Pro Air Fryer 210,2,8,100.75,136.43,Active
211,Pro Printer 211,3,25,571.02,928.92,Discontinued
212,Wireless Water Bottle 212,4,25,206.89,368.1,Active
213,Premium Electric Shaver 213,5,21,113.3,173.5,Active
214,Wireless Jacket 214,6,9,83.91,108.62,Discontinued
215,Smart Board Game 215,7,15,69.53,98.89,Active
216,Wireless Dash Camera 216,8,20,152.37,241.14,Active
217,Wireless Webcam 217,1,15,161.65,248.19,Active
218,Advanced Kettle 218,2,2,286.67,502.37,Active
219,Ultra Desk Chair 219,3,17,152.41,230.54,Discontinued
220,Essential Camping Chair 220,4,17,114.26,205.76,Discontinued
221,Premium Hair Dryer 221,5,14,198.57,325.33,Active
222,Pro Cap 222,6,11,69.67,117.34,Active
223,Pro Puzzle 223,7,11,165.43,237.58,Discontinued
224,Wireless Phone Mount 224,8,5,104.59,154.38,Active
225,Essential Keyboard 225,1,5,299.56,450.55,Active
226,Premium Vacuum 226,2,1,75.39,103.93,Discontinued
227,Eco Printer 227,3,7,97.19,138.74,Active
228,Essential Yoga Mat 228,4,17,201.28,357.44,Active
229,Classic Electric Shaver 229,5,20,45.59,79.73,Active
230,Advanced Jacket 230,6,24,96.28,159.42,Active
231,Wireless Science Kit 231,7,15,136.67,235.11,Active
232,Eco Seat Cover 232,8,18,309.27,532.14,Active
233,Wireless Tablet Stand 233,1,12,221.21,313.91,Discontinued
234,Essential Storage Set 234,2,17,338.7,589.38,Active
235,Smart Filing Cabinet 235,3,9,525.1,831.09,Active
236,Essential Dumbbell Set 236,4,23,91.24,155.83,Active
237,Essential Electric Shaver 237,5,15,208.78,272.46,Active
238,Premium Jacket 238,6,15,97.13,144.52,Active
239,Classic Building Set 239,7,8,70.61,89.46,Active
240,Premium Jump Starter 240,8,23,50.93,72.43,Discontinued
241,Ultra Tablet Stand 241,1,23,215.66,270.25,Active
242,Compact Cookware Set 242,2,1,294.71,465.43,Discontinued
243,Compact Shredder 243,3,4,184.18,235.5,Discontinued
244,Wireless Water Bottle 244,4,21,26.34,46.15,Discontinued
245,Essential Hair Dryer 245,5,20,160.2,255.52,Active
246,Classic Jacket 246,6,10,139.11,193.97,Discontinued
247,Pro Doll 247,7,6,16.84,26.37,Active
248,Advanced Car Vacuum 248,8,13,206.33,379.36,Active
249,Smart Speaker 249,1,24,360.12,524.65,Active
250,Wireless Coffee Maker 250,2,25,59.69,87.23,Active
